n,keep,seed,w_cex,rows,fitted
250,0.5,0,1.23290162609005,111,True
250,0.5,1,-0.7957399110927275,126,True
250,0.5,2,-0.22128280290100497,138,True
250,0.5,3,-0.285727748173593,126,True
250,0.5,4,-1.0978246678695602,130,True
250,0.5,5,1.552528488150568,126,True
250,0.5,6,0.5444324063312271,130,True
250,0.5,7,-1.2225151113387573,115,True
250,0.5,8,1.7747601796423453,120,True
250,0.5,9,0.42773309897825823,118,True
250,0.5,10,-0.2655548232972276,111,True
250,0.5,11,0.2005219911730064,112,True
250,0.5,12,1.1318665811866364,108,True
250,0.5,13,-0.1444393041119476,126,True
250,0.5,14,0.7283933055559172,120,True
250,0.5,15,0.8488669551124266,133,True
250,0.5,16,-0.2921294323075166,120,True
250,0.5,17,0.6462739191664492,106,True
250,0.5,18,-0.1751885035421064,123,True
250,0.5,19,-0.12541563158108124,109,True
250,0.5,20,-1.553573842505779,109,True
250,0.5,21,-0.496508784467481,124,True
250,0.5,22,-1.0717039711560434,115,True
250,0.5,23,-1.6158703473224274,120,True
250,0.5,24,-1.3650438076374074,119,True
250,0.5,25,0.048272314769299066,110,True
250,0.5,26,2.239456126172909,101,True
250,0.5,27,1.2436486712693482,103,True
250,0.5,28,0.30326916904446166,111,True
250,0.5,29,-1.778021201192221,130,True
250,0.5,30,-0.6727429543762505,125,True
250,0.5,31,-0.6043433272433072,107,True
250,0.5,32,0.2949959858409169,117,True
250,0.5,33,-1.0678234090458443,124,True
250,0.5,34,-0.24366907192991946,105,True
250,0.5,35,-0.016602940797351452,122,True
250,0.5,36,0.05445128369053448,137,True
250,0.5,37,-0.8685212803354166,111,True
250,0.5,38,1.1748347571256852,120,True
250,0.5,39,1.2864240370679347,121,True
250,0.25,0,3.2514736632871832,54,True
250,0.25,1,-3.448340319686426,55,True
250,0.25,2,0.15558671129401058,74,True
250,0.25,3,-2.7528128795694284,67,True
250,0.25,4,-0.4515001238021525,65,True
250,0.25,5,1.234438228431131,55,True
250,0.25,6,1.2060768872672287,61,True
250,0.25,7,-1.5790907343389526,68,True
250,0.25,8,2.789390912294432,59,True
250,0.25,9,-0.6994439338530163,55,True
250,0.25,10,-9.158667572472558,49,True
250,0.25,11,1.3503115744251015,54,True
250,0.25,12,1.2821687653549796,54,True
250,0.25,13,1.4466650261149707,66,True
250,0.25,14,0.33409558162158026,61,True
250,0.25,15,1.271295278457955,68,True
250,0.25,16,0.21351099912141996,59,True
250,0.25,17,2.016222195508019,50,True
250,0.25,18,0.02722908509654942,62,True
250,0.25,19,-0.5030258611975108,46,True
250,0.25,20,-1.3180910387436786,48,True
250,0.25,21,-0.3627330186708918,68,True
250,0.25,22,-0.31301396124155734,61,True
250,0.25,23,-1.0683085387721918,55,True
250,0.25,24,-5.197366155675936,53,True
250,0.25,25,4.590566810610793,53,True
250,0.25,26,1.992640176265598,53,True
250,0.25,27,1.6608916569889478,58,True
250,0.25,28,-0.23466519292477106,57,True
250,0.25,29,0.47581986643242585,56,True
250,0.25,30,-5.185296233912142,55,True
250,0.25,31,-2.3781420840455074,51,True
250,0.25,32,-2.8216538683128563,55,True
250,0.25,33,-0.6693556518144125,64,True
250,0.25,34,-0.8855600460020213,47,True
250,0.25,35,0.061971124469947986,69,True
250,0.25,36,1.2670557633755546,63,True
250,0.25,37,0.23844030741427594,45,True
250,0.25,38,6.718345527411066,57,True
250,0.25,39,0.9479385449603165,56,True
250,0.12,0,,25,False
250,0.12,1,,31,False
250,0.12,2,,37,False
250,0.12,3,,33,False
250,0.12,4,,36,False
250,0.12,5,-0.20725168467867283,36,True
250,0.12,6,,27,False
250,0.12,7,-3.919782389480605,39,True
250,0.12,8,,30,False
250,0.12,9,,28,False
250,0.12,10,,27,False
250,0.12,11,,34,False
250,0.12,12,,26,False
250,0.12,13,,39,False
250,0.12,14,,31,False
250,0.12,15,3.971029527752288,37,True
250,0.12,16,,30,False
250,0.12,17,,27,False
250,0.12,18,,32,False
250,0.12,19,,25,False
250,0.12,20,,27,False
250,0.12,21,,32,False
250,0.12,22,,33,False
250,0.12,23,,28,False
250,0.12,24,,32,False
250,0.12,25,,32,False
250,0.12,26,,30,False
250,0.12,27,,31,False
250,0.12,28,,29,False
250,0.12,29,,29,False
250,0.12,30,,30,False
250,0.12,31,,30,False
250,0.12,32,,37,False
250,0.12,33,,37,False
250,0.12,34,,21,False
250,0.12,35,0.2048308561488032,36,True
250,0.12,36,,30,False
250,0.12,37,,28,False
250,0.12,38,,31,False
250,0.12,39,,34,False
